Day (starting Jan 26th 2020),Cases
0.00,1
7.00,1
10.00,2
16.00,1
25.00,1
26.00,1
32.00,1
33.00,1
37.00,4
38.00,6
39.00,4
40.00,6
41.00,1
42.00,3
43.00,5
44.00,11
45.00,20
46.00,12
47.00,25
48.00,12
49.00,28
50.00,46
51.00,41
52.00,60
53.00,47
54.00,62
55.00,46
56.00,43
57.00,88
58.00,59
59.00,91
60.00,62
61.00,62
62.00,37
63.00,30
64.00,82
65.00,56
66.00,47
67.00,55
68.00,31
69.00,21
70.00,13
71.00,51
72.00,40
73.00,33
74.00,34
75.00,41
76.00,28
77.00,15
78.00,30
79.00,44
80.00,14
81.00,51
82.00,25
83.00,30
84.00,15
85.00,34
86.00,63
87.00,33
88.00,37
89.00,72
90.00,61
91.00,15
92.00,58
93.00,41
94.00,27
95.00,29
96.00,23
97.00,33
98.00,21
99.00,16
100.00,24
101.00,29
102.00,21
103.00,14
104.00,8
105.00,17
106.00,10
107.00,13
108.00,16
109.00,14
110.00,21
111.00,8
112.00,11
113.00,5
114.00,19
115.00,11
116.00,22
117.00,12
118.00,4
119.00,9
120.00,8
121.00,7
122.00,10
123.00,5
124.00,11
125.00,9
126.00,16
127.00,4
128.00,23
129.00,2
130.00,4
131.00,12
132.00,7
133.00,9
134.00,10
135.00,14
136.00,12
137.00,17
138.00,14
139.00,14
140.00,9
141.00,11
142.00,19
143.00,9
144.00,5
145.00,9
146.00,6
147.00,17
148.00,11
149.00,12
150.00,21
151.00,12
152.00,9
153.00,13
154.00,3
155.00,12
156.00,17
157.00,10
158.00,9
159.00,12
160.00,16
161.00,7
162.00,9
163.00,19
164.00,18
165.00,22
166.00,25
167.00,23
168.00,20
169.00,13
170.00,19
171.00,24
172.00,33
173.00,44
174.00,19
175.00,29
176.00,33
177.00,34
178.00,32
179.00,30
180.00,30
181.00,21
182.00,21
183.00,24
184.00,47
185.00,26
186.00,39
187.00,52
188.00,29
189.00,48
190.00,28
191.00,43
192.00,46
193.00,48
194.00,52
195.00,38
196.00,44
197.00,46
198.00,87
199.00,75
200.00,91
201.00,102
202.00,89
203.00,52
204.00,77
205.00,63
206.00,86
207.00,91
208.00,117
209.00,80
210.00,81
211.00,54
212.00,58
213.00,66
214.00,126
215.00,98
216.00,114
217.00,93
218.00,58
219.00,96
220.00,90
221.00,114
222.00,136
223.00,126
224.00,109
225.00,83
226.00,88
227.00,155
228.00,120
229.00,159
230.00,118
231.00,83
232.00,60
233.00,126
234.00,182
235.00,142
236.00,126
237.00,116
238.00,129
239.00,100
240.00,82
241.00,130
242.00,104
243.00,80
244.00,126
245.00,100
246.00,80
247.00,120
248.00,112
249.00,138
250.00,114
251.00,108
252.00,120
253.00,97
254.00,117
255.00,107
256.00,123
257.00,176
258.00,161
259.00,130
260.00,110
261.00,148
262.00,143
263.00,147
264.00,169
265.00,153
266.00,176
267.00,172
268.00,205
269.00,278
270.00,222
271.00,305
272.00,308
273.00,213
274.00,198
275.00,278
276.00,242
277.00,278
278.00,344
279.00,391
280.00,381
281.00,289
282.00,339
283.00,445
284.00,569
285.00,565
286.00,544
287.00,473
288.00,509
289.00,564
290.00,588
291.00,621
292.00,653
293.00,661
294.00,612
295.00,710
296.00,731
297.00,571
298.00,516
299.00,722
300.00,625
301.00,578
302.00,932
303.00,17
